id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1527664027920482306,1527502680092024840,2022-05-20 14:54:21 UTC,2022-05-20,14:54:21,+0000,453067309,itscolour,Shawn Best,,"@sydenhamkennedy wait, so we can't blame trudeau for covid, but we can blame ford? #Logic   P.S. education and healthcare have been trash for decades no matter who is in charge(lib or con) and no matter how much money we dump into the system.  The system sucks, and its corrupted by unions.",en,[],[],[],0,0,0,['logic'],[],https://twitter.com/ItsColour/status/1527664027920482306,False,,0,,,,,,,,"[{'screen_name': 'sydenhamkennedy', 'name': 'Colin Kennedy', 'id': '2323114238'}]",,,,
1527662838264774658,1526699191455690752,2022-05-20 14:49:37 UTC,2022-05-20,14:49:37,+0000,2883440640,soldseparately_,thinkcarefully 🇨🇦🇺🇦,,"@tgiscottie @kbandzo87 I’ve seen these signs in Parry Sound Muskoka. Some people are worried about children/teens and how they will recover from covid. Ford has cut #onted funding all along, + this budget is promising things to everyone but still cutting education. Kids are our future. Why is that ok?  https://t.co/SBINzCJ83X",en,[],[],['https://pbs.twimg.com/media/FTNZPnuXEAAABno.jpg'],0,0,0,['onted'],[],https://twitter.com/soldseparately_/status/1527662838264774658,False,,1,https://pbs.twimg.com/media/FTNZPnuXEAAABno.jpg,,,,,,,"[{'screen_name': 'tgiscottie', 'name': 'tgiscottie', 'id': '1215653183789420546'}, {'screen_name': 'kbandzo87', 'name': 'Tinka', 'id': '1450024620522971144'}]",,,,
1527662678277337088,1527639989382676483,2022-05-20 14:48:59 UTC,2022-05-20,14:48:59,+0000,1433050120342409221,brandonbusbey,Brandon Busbey,,"@ameliaknisely I think the hospitals failed us during COVID, not so much at the patient care side of things, but community education. This is where the local hospitals can step in and educate. If something is out, what is the next best thing. #AnticipatoryGuidance @WVUMedicine @UHC",en,"[{'screen_name': 'wvumedicine', 'name': 'wvu medicine', 'id': '77278502'}, {'screen_name': 'uhc', 'name': 'unitedhealthcare', 'id': '397462571'}]",[],[],1,0,0,['anticipatoryguidance'],[],https://twitter.com/BrandonBusbey/status/1527662678277337088,False,,0,,,,,,,,"[{'screen_name': 'ameliaknisely', 'name': 'Amelia Knisely', 'id': '94872157'}]",,,,
1527661147666661377,1527661147666661377,2022-05-20 14:42:54 UTC,2022-05-20,14:42:54,+0000,2478254869,jahangirbaderm,جہانگیر,,Post COVID school education has gone to the dump. Nephews and nieces studying at different schools telling stories of cheating &amp; 'assistance' from teachers that were quite unthinkable over a decade ago.,en,[],[],[],0,0,0,[],[],https://twitter.com/JahangirBaderM/status/1527661147666661377,False,,0,,,,,,,,[],,,,
1527658109531000834,1527658108662718464,2022-05-20 14:30:50 UTC,2022-05-20,14:30:50,+0000,12266402,laurelhitchcock,Laurel I Hitchcock,,"In social work education, one lesson we can take away from the COVID pandemic has brought many lessons to social work education is to be ready when a crisis or disruption requires an instructor and students to quickly shift an entire course, a class session, or even an…",en,[],[],[],1,0,0,[],[],https://twitter.com/laurelhitchcock/status/1527658109531000834,False,,0,,,,,,,,[],,,,
1527657656546205698,1527657656546205698,2022-05-20 14:29:02 UTC,2022-05-20,14:29:02,+0000,2194509135,onlinetie,Ehsan Ullah Khan,,Activist Ullah Khan appeals to education as the only way to eradicate child slavery  The Pakistani visits Valladolid and assures that the exploitation of children is more dangerous for humanity than Covid   https://t.co/3PteZPNw9b,en,[],['https://m.tribunavalladolid.com/noticias/el-activista-ullah-khan-apela-a-la-educacion-como-el-unico-camino-para-erradicar-la-esclavitud-infantil/1652958162'],[],0,2,1,[],[],https://twitter.com/onlinetie/status/1527657656546205698,False,,0,,,,,,,,[],,,,
1527650914126819329,1527650914126819329,2022-05-20 14:02:14 UTC,2022-05-20,14:02:14,+0000,894940267526078465,ohioarchivists,Society of Ohio Archivists,,"At @youngstownstate, with Shelley Blundell, collaboration with magazine writing and reporting course to create a multimedia project for the Spring 2021 digital education for the “COVID-19 YSU Experience”archival collection #SOAAM22",en,"[{'screen_name': 'youngstownstate', 'name': 'youngstown state university', 'id': '104876976'}]",[],[],1,0,1,['soaam22'],[],https://twitter.com/ohioarchivists/status/1527650914126819329,False,,0,,,,,,,,[],,,,
1527647292836171778,1527647292836171778,2022-05-20 13:47:51 UTC,2022-05-20,13:47:51,+0000,2717071338,lexgoffe,Alexis Goffe,,why do folks believe that the ‘let covid rip through children’ politicians care about children’s education and health?,en,[],[],[],0,1,1,[],[],https://twitter.com/LexGoffe/status/1527647292836171778,False,,0,,,,,,,,[],,,,
1527647235332362240,1527647235332362240,2022-05-20 13:47:37 UTC,2022-05-20,13:47:37,+0000,878201264,ayenissa,Miss gurll ✨,,Diseases and classism.   It’s always “this disease does not pose a danger because it’s mostly found in low income communities and developing countries with no access to education and advanced medicine”.   The ONGOING Covid pandemic has proven that this isn’t true. #monkeypox,en,[],[],[],0,0,1,['monkeypox'],[],https://twitter.com/ayenissa/status/1527647235332362240,False,,0,,,,,,,,[],,,,
1527645899387592705,1527300426659659782,2022-05-20 13:42:19 UTC,2022-05-20,13:42:19,+0000,725663436986707968,levett1945,Doreen Levett🇨🇦 End Ford's reign in June,,"@WiredWizard69 @fordnation I truly fear another 4 years of the Ford Mafia.  If you are involved in Healthcare, require medical intervention, education, had or lost someone to Covid, scrambled for testing...don't vote for this man and his band of hateful people.",en,[],[],[],0,0,0,[],[],https://twitter.com/levett1945/status/1527645899387592705,False,,0,,,,,,,,"[{'screen_name': 'WiredWizard69', 'name': 'Charles Banton', 'id': '1483197576937676800'}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': '2809959174'}]",,,,
